gardiner_code,gardiner_source,unicode_cp,unicode,unikemet_code,jsesh_code,category,description,function,core
A1,kEH_HG,13000,U+13000,A001,A1,A-01-001,"Man, seated, right knee raised, right arm raised, left arm in front of body.",Classifier human being,C
A10,kEH_HG,1300C,U+1300C,A010,A10,A-12-042,"Man, seated, right knee raised, right arm extended forward, holding the shaft of an oar, with the blade at the level of the feet, left arm hanging beside the body.",Classifier sailing/rowing,C
A100B,kEH_HG,134C1,U+134C1,HJ A100B,A100B,A-05-028,"Man, horizontal, in a swimming pose, right arm forwards, left arm beside the body, above a rectangle representing water, with a curved line of water over the man starting at the right hand.",Classifier swimming,C
A101,kEH_HG,134C3,U+134C3,HJ A101,A101,A-05-030,"A man, written at 35 degree forwards, as if standing, with both arms raised in front, written inside a circle of wavy lines.",Phonemogram,C
A101D,kEH_HG,134C5,U+134C5,HJ A101D,A101D,A-05-035,"Man, written at 45 degree forward, both arms raised at either side of the body, hand palms outwards, inside an oval with a dotted line.",Classifier swimming,C
A102,kEH_HG,134C2,U+134C2,HJ A102,A102,A-05-029,,,
A103,kEH_HG,136C4,U+136C4,HJ A103,A103,A-34-004,"A man, lying down on a bed, facing upwards, knees slightly bent, right arm under the body, left arm over the body.",Classifier to awake,C
A104,kEH_HG,136C5,U+136C5,HJ A104,A104,A-34-005,"Man, written horizontally, facing down, right arm in front, left arm over the body, on top of a bed.",Classifier to sleep,C
A104B,kEH_HG,136C8,U+136C8,HJ A104B,A104B,A-34-009,"A man, mummy form, without beard, lying on a bed with short triangular bedposts, facing upwards.",Classifier to sleep,C
A108,kEH_HG,134D0,U+134D0,HJ A108,A108,A-06-024,"Man, standing, both arms in front, holding a stick/staff.",Classifier to cut down,C
A109,kEH_HG,134D3,U+134D3,HJ A109,A109,A-06-029,"Man, standing, wearing a long sash-kilt, with a cone-like shape on its head, right arm in front, holding a long stick/staff, left arm hanging beside the body.","Logogram (great one, chief)",C
A109A,kEH_HG,134D5,U+134D5,HJ A109A,A109A,A-06-033,"Man, standing, wearing a long sash-kilt, with two feathers on his head, right arm in front, holding a stick/staff, left arm hanging beside the body.",,C
A109B,kEH_HG,134D6,U+134D6,HJ A109B,A109B,A-06-035,"Man, standing, with a palm branch, stripped of leaves and a round notch on front, with the curve at the top backwards (M4), on the head, right arm in forward, holding a stick/staff, left arm hanging beside the body.","Logogram (great one, chief)",C
A109C,kEH_HG,134D4,U+134D4,HJ A109C,A109C,A-06-032,"Man, standing, wearing a long sash-kilt, with a feather (H6) on his head, right arm in front, holding a stick/staff, left arm hanging beside the body.",Logogram (great),C
A109E,kEH_HG,1348A,U+1348A,HJ A109E,A109E,A-02-006,"Man, standing, bent slightly forwards, with a feather/cone on his head, angled backwards, with the arms hanging at either side of the body.",Classifier foreigner (Nubian),C
A109H,kEH_HG,134D1,U+134D1,HJ A109H,A109h,A-06-027,"Man, standing, with a backward line on the head, right arm forwards, holding a stick/staff, left arm hanging beside the body.",Logogram (great),C
A11,kEH_HG,1300D,U+1300D,A011,A11,A-07-041,"Man, seated, right knee raised, right arm raised In front, holding a sceptre (S42), angled towards the head, left arm in front of the body, holding a stick, resting against the shoulder.",Phonemogram,C
A111,kEH_HG,134D9,U+134D9,HJ A111,A111,A-06-041,"Man standing, with a feather on his head (H8), right arm forward, holding a body-length wAs scepter (sceptre with a straight shaft, a forked base, topped with the head of the Seth animal (S40)), left arm hanging beside the body.",Logogram (son/child of),C
A113,kEH_HG,134CE,U+134CE,HJ A113,A113,A-06-018,"Man, standing on top of the sky (N1), right arm forwards, holding a stick/staff, left arm hanging beside the body.",Logogram (elder of the court),C
A114,kEH_HG,134DC,U+134DC,HJ A114,A114,A-07-002,"Man, seated, right knee raised, right arm raised, holding a conical shape at the height of the shoulder, angled forward, left arm hanging beside the body.","Logogram (humankind, patricians)",C
A114B,kEH_HG,134DB,U+134DB,HJ A114B,A114B,A-07-001,"Man, seated, right knee raised, right arm raised, holding a conical shape at the height of the shoulder, angled forward, left arm in front of body.","Logogram (humankind, patricians)",C
